,Descripcion,Codigos donde esta duplicado
0,ABRAZADERA MANG INOX 84-108 MM # 60,00012807 - 00012808
1,LIJA FIERRO # 280,00006110 - 00112648
2,ADAPTADOR POWER CHANGE BOSCH,00110764 - 00111442
3,GOLILLA PLANA INOX 1/4,00011319 - 00067646
4,GOLILLA PRESION ZINC 3/8,00011406 - 00102054
5,MALLA XS-2062,00096142 - 00096143
6,"FAROL TRASERO 10 LED C/BISEL REFLEC. BI-VOL 4"" RED",00037780 - 00072659 - 00090982
7,FAROL LATERAL 10 LED BI-VOL 100 MM CORBATA STROBO,00056249 - 00058035
8,TERMINAL LUCAS C/F HEMBRA 3M AMBAR,00000355 - 00000358
9,WK 920/1,00005979 - 00045173
10,TERMINAL LUCAS C/F MACHO 3M AMBAR,00000354 - 00000357
11,PLACA DIODO,00001574 - 00001577
12,CUBRE VOLANTE CAMION 16-18 NEGRO,00093897 - 00093899
13,FOCO FAENA 14 LED RED 9-33V BLST CORTO HELLA ALC H,00094941 - 00094943
14,TUERCA SEG PLAST 3/4 NF,00011143 - 00104478
15,CANDADO,00024926 - 00024927 - 00024930 - 00024933 - 00024934 - 00024935
16,CUBRE VOLANTE AZUL CUERINA,00059484 - 00059485
